date,USDCAD,GBPJPY,EURJPY,AUDCAD,NZDCAD,empty,sum
2019.06.13,-906.0000000000068,-566.0000000000025,-551.0000000000019,-685.0000000000023,-684.9999999999911,,-3393.0000000000045
2019.06.13,-911.0000000000174,-609.0000000000089,-558.0000000000069,-660.000000000005,-671.9999999999948,,-3410.0000000000327
2019.06.13,-912.0000000000017,-627.0000000000095,-565.0000000000119,-697.0000000000032,-671.9999999999948,,-3473.000000000021
2019.06.13,-889.0000000000065,-550.0000000000114,-578.000000000003,-699.0000000000052,-666.9999999999953,,-3383.0000000000214
2019.06.13,-870.9999999999995,-594.9999999999989,-602.0000000000039,-638.0000000000052,-607.9999999999974,,-3314.0000000000045
2019.06.13,-839.9999999999964,-668.0000000000064,-652.000000000001,-636.9999999999986,-619.9999999999983,,-3417.0000000000005
2019.06.13,-868.000000000002,-665.0000000000205,-649.0000000000009,-619.0000000000028,-627.9999999999952,,-3429.000000000022
2019.06.13,-916.0000000000057,-733.0000000000041,-671.0000000000065,-590.0000000000016,-607.9999999999974,,-3518.0000000000155
2019.06.13,-943.000000000005,-667.0000000000016,-646.0000000000008,-573.9999999999967,-607.9999999999974,,-3438.0000000000014
2019.06.13,-941.9999999999984,-649.0000000000009,-632.000000000005,-566.9999999999953,-605.0,,-3395.0
2019.06.13,-934.9999999999969,-712.0000000000175,-625.0,-602.999999999998,-666.9999999999953,,-3542.000000000008
2019.06.14,-883.9999999999959,-710.000000000008,-696.0000000000122,-610.9999999999949,-667.9999999999908,,-3569.000000000002
2019.06.14,-889.0000000000065,-680.0000000000068,-604.0000000000134,-605.9999999999955,-646.9999999999976,,-3426.0000000000196
2019.06.14,-877.0000000000166,-675.0000000000114,-601.0000000000133,-593.9999999999945,-619.9999999999983,,-3367.000000000034
2019.06.14,-872.0000000000061,-655.0000000000011,-606.0000000000088,-607.9999999999974,-757.999999999992,,-3499.0000000000055
2019.06.14,-865.0000000000047,-689.0000000000214,-644.0000000000055,-609.9999999999994,-747.9999999999931,,-3556.000000000024
2019.06.14,-872.0000000000061,-686.000000000007,-632.000000000005,-641.9999999999982,-750.9999999999906,,-3583.000000000007
2019.06.14,-941.0000000000141,-730.0000000000182,-673.0000000000018,-643.0000000000047,-750.9999999999906,,-3738.000000000029
2019.06.14,-982.0000000000161,-717.000000000013,-644.0000000000055,-587.0000000000042,-837.9999999999943,,-3768.0000000000327
2019.06.14,-985.999999999998,-759.0000000000146,-693.000000000012,-634.9999999999967,-887.9999999999999,,-3961.0000000000214
2019.06.14,-1002.9999999999983,-789.0000000000157,-708.0000000000126,-802.0000000000027,-1007.9999999999978,,-4310.000000000027
2019.06.14,-1008.0000000000089,-790.0000000000205,-707.0000000000078,-797.0000000000033,-989.9999999999909,,-4292.000000000031
2019.06.14,-1027.0000000000002,-787.0000000000061,-697.0000000000027,-763.0000000000026,-1052.9999999999927,,-4327.000000000005
2019.06.14,-1029.9999999999975,-769.0000000000055,-718.0000000000035,-766.9999999999955,-1055.9999999999902,,-4339.999999999992
2019.06.14,-1005.9999999999958,-780.0000000000011,-714.0000000000128,-761.999999999996,-1024.9999999999982,,-4287.000000000004
2019.06.14,-992.9999999999994,-762.0000000000005,-723.0000000000132,-719.000000000003,-967.9999999999911,,-4165.000000000007
2019.06.14,-1012.0000000000128,-725.9999999999991,-707.0000000000078,-714.999999999999,-980.9999999999985,,-4141.000000000017
2019.06.14,-1026.0000000000157,-729.0000000000134,-692.0000000000073,-693.9999999999947,-990.9999999999974,,-4132.000000000028
2019.06.14,-1043.0000000000161,-737.9999999999995,-735.0000000000136,-722.9999999999959,-992.9999999999994,,-4232.000000000025
2019.06.14,-1055.000000000006,-749.0000000000236,-737.9999999999995,-746.9999999999976,-997.9999999999989,,-4287.0000000000255
2019.06.14,-1021.0000000000052,-921.999999999997,-743.0000000000092,-741.9999999999982,-972.9999999999906,,-4401.0
2019.06.14,-1049.0000000000111,-997.0000000000141,-818.000000000012,-744.0000000000002,-920.9999999999941,,-4529.000000000031
2019.06.14,-1046.999999999998,-1034.9999999999966,-841.0000000000082,-726.9999999999999,-849.9999999999952,,-4499.999999999998
2019.06.14,-1014.0000000000038,-1028.9999999999964,-739.0000000000043,-756.9999999999966,-931.9999999999995,,-4471.0
2019.06.14,-1021.0000000000052,-1076.0000000000218,-765.0000000000006,-770.000000000004,-944.9999999999958,,-4577.000000000027
2019.06.14,-1039.000000000012,-1270.0000000000102,-916.000000000011,-766.0,-959.9999999999942,,-4951.000000000027
2019.06.14,-978.0000000000122,-1248.0000000000189,-896.0000000000008,-773.0000000000015,-1004.9999999999892,,-4900.000000000023
2019.06.14,-965.0000000000158,-1175.0000000000114,-901.0000000000105,-807.0000000000022,-1037.9999999999945,,-4886.000000000035
2019.06.14,-1027.0000000000002,-1235.0000000000136,-944.0000000000026,-751.0000000000017,-1006.9999999999912,,-4964.000000000009
2019.06.14,-1061.000000000001,-1362.9999999999995,-1024.000000000001,-756.9999999999966,-1052.9999999999927,,-5257.999999999991
2019.06.14,-1012.9999999999973,-1272.9999999999961,-1006.0000000000002,-705.0000000000001,-1020.9999999999941,,-5017.999999999987
