date,nextweek_NZDCHF,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD
2019.03.17,-9,-24,-24,-2,-24,8,-1,8,-30,-16,-12,-12,-9,-6,12,-36,1,-24,-24,6,-2,-8,-18,-18,-12,9,12,-9
2019.03.10,-6,-6,30,20,18,-12,12,15,30,10,18,4,4,5,-16,24,25,20,24,6,2,1,24,18,24,1,2,-4
2019.03.03,5,24,-30,-24,-18,24,-18,-5,-8,-6,-30,1,1,9,6,-36,-8,-8,-36,-2,-3,-12,-36,-36,-30,2,9,-9
2019.02.24,9,1,20,10,24,25,-6,-6,24,12,30,-20,-3,-6,-12,30,30,18,36,30,15,20,-6,30,18,6,4,4
2019.02.17,-6,-12,24,8,36,-12,-1,-3,16,-1,36,4,-4,-9,-9,36,12,25,36,-8,9,16,36,18,-12,-12,-12,3
2019.02.10,-9,9,-12,-8,36,-2,6,16,4,8,6,12,24,24,6,18,-16,-25,36,-9,-16,-24,36,36,36,9,12,-12
2019.02.03,24,18,-16,-20,30,30,-20,-20,-6,-6,-12,-6,-12,-12,-1,-12,6,10,-18,6,15,15,-18,-18,-18,-9,-9,1
2019.01.27,-12,6,-16,15,-24,-12,9,15,-12,12,-24,12,12,12,24,-24,-20,-20,12,-3,-8,-6,12,12,18,4,-1,1
2019.01.20,12,-1,30,3,-12,-3,1,12,30,4,6,2,1,16,-20,24,36,30,6,6,12,-4,6,6,12,-2,12,-8
2019.01.13,16,12,2,-12,18,3,-9,-12,15,9,12,12,4,-2,-9,12,4,10,6,-12,-3,6,18,12,-12,-9,-12,9
2019.01.06,-2,-10,20,18,6,-24,24,12,4,12,36,9,8,6,-2,18,1,-3,24,-6,-4,-4,24,24,24,3,3,6
2018.12.30,6,9,2,-4,-36,-25,3,2,3,1,-36,30,4,3,-3,-30,-15,12,-36,-30,-5,-4,6,-36,-36,-20,-24,3
