date,EURUSD,GBPCHF,EURCHF,GBPCAD,AUDCAD,empty,sum
2019.07.18,378.00000000001165,80.99999999999774,17.999999999984695,-202.00000000001327,-824.0000000000025,,-549.0000000000217
2019.07.18,367.0000000000062,109.00000000000354,28.999999999990145,-15.00000000000945,-753.0000000000036,,-263.0000000000132
2019.07.18,365.0000000000153,205.00000000001074,39.999999999995595,141.99999999999767,-709.0000000000041,,43.000000000015234
2019.07.18,284.00000000001756,195.00000000001182,33.99999999997849,116.00000000000499,-697.0000000000032,,-67.99999999999034
2019.07.18,51.000000000001044,212.99999999999653,44.99999999998394,69.9999999999923,-778.9999999999964,,-400.0000000000226
2019.07.18,-42.999999999993044,97.00000000001374,10.999999999983245,-229.99999999999687,-834.9999999999968,,-999.9999999999898
2019.07.18,-122.99999999998423,96.00000000000719,46.999999999997044,-272.00000000000557,-900.0000000000008,,-1151.9999999999864
2019.07.18,-149.9999999999835,148.99999999999915,123.99999999999079,-320.00000000000915,-905.9999999999957,,-1102.9999999999984
2019.07.18,-129.00000000000134,151.00000000001222,139.9999999999846,-287.9999999999994,-846.0000000000023,,-972.0000000000061
2019.07.18,-118.99999999998023,207.00000000000162,126.99999999998823,-100.99999999999554,-802.9999999999982,,-688.9999999999841
2019.07.19,-126.99999999998823,249.99999999999466,150.99999999999002,-126.0000000000039,-816.0000000000056,,-668.000000000013
2019.07.19,-119.99999999998678,200.00000000000017,135.9999999999806,-127.99999999999478,-826.0000000000045,,-738.0000000000053
2019.07.19,-165.9999999999995,107.00000000001265,149.9999999999835,-148.99999999999915,-836.9999999999989,,-895.0000000000014
2019.07.19,103.00000000000864,112.000000000001,168.99999999999693,-114.99999999999844,-783.0000000000003,,-513.9999999999922
2019.07.19,80.00000000001339,137.00000000000932,174.99999999999181,-99.00000000000463,-733.0000000000059,,-439.999999999996
2019.07.19,43.00000000001525,131.99999999999878,158.99999999999804,-113.00000000000753,-763.9999999999981,,-542.9999999999935
2019.07.19,-29.999999999996696,48.000000000003595,103.99999999999298,-197.00000000000273,-807.0000000000022,,-882.000000000005
2019.07.19,15.00000000000945,49.99999999999449,129.99999999998568,-124.99999999999733,-761.999999999996,,-692.0000000000038
2019.07.19,6.000000000017103,42.0000000000087,127.99999999999478,-109.00000000000354,-809.9999999999997,,-742.9999999999826
2019.07.19,11.00000000000545,41.000000000002146,121.99999999999989,-114.0000000000141,-821.000000000005,,-761.0000000000116
2019.07.19,-3.999999999981796,25.999999999992696,127.99999999999478,-134.99999999999625,-811.0000000000061,,-795.9999999999967
2019.07.19,-22.999999999995246,86.0000000000083,131.99999999999878,-133.00000000000534,-746.9999999999976,,-684.9999999999911
2019.07.19,-27.999999999983594,32.999999999994145,94.99999999997843,-158.99999999999804,-780.000000000003,,-839.000000000012
2019.07.19,-1.999999999990898,31.000000000003247,92.99999999998754,-110.99999999999443,-775.9999999999989,,-764.9999999999934
2019.07.19,17.000000000000348,15.999999999993797,74.99999999998064,-103.00000000000864,-783.9999999999958,,-779.0000000000297
2019.07.19,26.0000000000149,32.999999999994145,77.99999999997809,-76.0000000000094,-766.0,,-705.0000000000223
2019.07.19,24.000000000001798,93.99999999999409,89.99999999999008,-35.00000000000725,-736.9999999999987,,-564.00000000002
2019.07.19,55.000000000005045,83.9999999999952,58.99999999998684,-60.99999999999994,-783.0000000000003,,-646.0000000000132
2019.07.19,8.000000000008,99.00000000000463,46.999999999997044,-49.00000000001015,-780.9999999999984,,-675.9999999999989
2019.07.19,20.000000000020002,146.00000000000168,-2.0000000000131024,83.9999999999952,-751.9999999999972,,-503.9999999999934
2019.07.19,0.0,158.0000000000137,16.999999999978144,121.99999999999989,-722.0000000000005,,-425.00000000000875
2019.07.19,1.0000000000065512,107.99999999999699,41.99999999998649,58.000000000002494,-705.0000000000001,,-496.0000000000076
2019.07.19,5.000000000010552,170.00000000000347,73.99999999999629,79.99999999999119,-704.0000000000047,,-375.0000000000032
2019.07.19,74.0000000000185,136.00000000000279,78.99999999998464,45.99999999999049,-722.9999999999959,,-387.9999999999995
2019.07.19,131.00000000001444,287.9999999999994,145.99999999997948,129.00000000000134,-695.0000000000011,,-1.0000000000064801
2019.07.19,197.00000000000273,163.00000000000205,259.9999999999936,-18.0000000000069,-673.9999999999968,,-72.00000000000534
2019.07.19,231.0000000000034,165.9999999999995,279.99999999999136,-147.99999999999258,-724.0000000000024,,-195.00000000000068
2019.07.19,265.0000000000041,107.00000000001265,362.99999999998,-249.00000000001032,-729.0000000000018,,-243.00000000001546
2019.07.19,262.00000000000665,144.0000000000108,390.9999999999858,-236.99999999999832,-741.9999999999982,,-181.9999999999933
2019.07.19,270.99999999999903,150.00000000000568,345.99999999997965,-241.00000000000233,-702.9999999999981,,-177.00000000001603
2019.07.19,327.00000000001063,200.00000000000017,468.9999999999861,-256.00000000001177,-773.9999999999969,,-34.00000000001194
2019.07.19,396.00000000001853,303.9999999999932,490.999999999997,-720.0000000000095,-1058.9999999999989,,-587.9999999999998
2019.07.19,388.0000000000106,435.0000000000076,539.999999999985,-473.99999999999665,-1017.0000000000013,,-127.99999999999466
2019.07.19,310.0000000000103,402.0000000000135,584.9999999999911,-449.9999999999948,-961.9999999999961,,-114.9999999999759
2019.07.19,267.0000000000172,402.0000000000135,574.9999999999922,-468.00000000000176,-978.9999999999966,,-202.99999999997567
2019.07.19,348.9999999999993,517.0000000000119,581.9999999999936,-286.00000000000847,-909.9999999999997,,251.99999999999693
2019.07.19,415.0000000000098,516.0000000000053,564.9999999999933,-188.00000000001037,-836.0000000000034,,471.99999999999454
2019.07.19,407.0000000000018,530.0000000000082,592.9999999999991,-242.00000000000887,-816.0000000000056,,471.99999999999466
2019.07.19,363.0000000000022,564.000000000009,587.9999999999885,-154.99999999999403,-802.0000000000027,,558.0000000000027
2019.07.19,364.00000000000875,584.0000000000067,576.9999999999831,-100.99999999999554,-799.0000000000052,,624.999999999998
2019.07.19,367.0000000000062,605.9999999999955,596.9999999999809,-39.00000000001125,-787.0000000000043,,743.999999999967
