date,EURCHF,AUDJPY,empty,sum
2016.05.27,375.0000000000142,-503.0000000000001,,-127.9999999999859
2016.05.27,402.9999999999978,-361.99999999999477,,41.00000000000301
2016.05.27,422.9999999999956,-390.00000000000057,,32.999999999995055
2016.05.27,404.0000000000044,-402.000000000001,,2.0000000000033538
2016.05.27,417.0000000000007,-378.0000000000001,,39.00000000000057
2016.05.27,346.0000000000019,-430.9999999999974,,-84.99999999999551
2016.05.27,336.00000000000296,-399.0000000000009,,-62.999999999997954
2016.05.27,370.00000000000364,-262.999999999991,,107.00000000001262
2016.05.27,387.000000000004,-232.99999999998988,,154.0000000000141
2016.05.27,361.0000000000113,-200.9999999999934,,160.0000000000179
2016.05.27,348.9999999999993,-204.9999999999983,,144.00000000000102
2016.05.27,324.9999999999975,-313.99999999999295,,11.000000000004547
