date,EURUSD,NZDUSD,EURGBP,empty,sum
2015.05.15,1577.9999999999905,-118.99999999999133,-257.9999999999916,,1201.0000000000075
2015.05.15,1594.999999999991,-164.99999999999292,-235.99999999999176,,1194.0000000000061
2015.05.15,1327.999999999996,-162.99999999999093,-341.0000000000024,,824.0000000000026
2015.05.15,1371.9999999999955,-187.9999999999993,-353.99999999999875,,829.9999999999974
2015.05.15,1344.9999999999961,-197.99999999999818,-405.9999999999952,,741.0000000000027
2015.05.15,1475.9999999999884,-135.99999999999167,-368.9999999999971,,970.9999999999998
2015.05.15,1529.9999999999868,-158.99999999999804,-395.99999999999636,,974.9999999999925
2015.05.15,2312.9999999999873,290.00000000000136,-136.99999999999824,,2465.9999999999905
2015.05.15,2373.9999999999873,292.00000000000335,-51.99999999999649,,2613.999999999994
2015.05.15,2321.9999999999795,301.0000000000068,-49.99999999999449,,2572.999999999992
2015.05.15,2273.999999999998,354.0000000000099,-39.00000000000014,,2589.000000000008
2015.05.15,2142.9999999999836,235.00000000000742,-68.99999999999685,,2308.999999999994
2015.05.15,2326.99999999999,267.00000000000614,40.00000000000669,,2634.000000000003
2015.05.15,2411.999999999992,363.0000000000022,129.00000000000134,,2903.9999999999955
2015.05.15,2362.999999999982,316.0000000000052,133.00000000000534,,2811.9999999999923
2015.05.15,2481.0,363.0000000000022,223.00000000000654,,3067.0000000000086
2015.05.15,2642.9999999999955,395.0000000000009,286.00000000000847,,3324.000000000005
2015.05.15,2511.999999999981,303.0000000000088,302.9999999999977,,3117.9999999999873
2015.05.15,2472.999999999992,295.0000000000008,253.0000000000032,,3020.999999999996
2015.05.15,2433.9999999999804,175.00000000000293,272.00000000000557,,2880.9999999999886
2015.05.15,2465.9999999999905,82.00000000000429,279.00000000000705,,2827.000000000002
