date,GBPCHF,EURGBP,GBPJPY,GBPCAD,empty,sum
2017.08.25,387.000000000004,582.0000000000048,-111.00000000001842,974.9999999999925,,1832.9999999999827
2017.08.25,343.99999999998875,609.000000000004,-240.0000000000091,861.999999999985,,1574.9999999999686
2017.08.25,235.99999999999176,634.0000000000013,-297.00000000002547,841.9999999999872,,1414.9999999999545
2017.08.25,272.00000000000557,661.0000000000005,-237.0000000000232,918.9999999999809,,1614.9999999999636
2017.08.25,320.9999999999935,646.9999999999976,-229.00000000001342,1017.0000000000013,,1755.999999999979
2017.08.25,270.99999999999903,614.9999999999989,-252.00000000000955,962.9999999999806,,1596.999999999969
2017.08.25,248.99999999998812,585.0000000000022,-267.00000000002433,729.9999999999862,,1296.9999999999523
2017.08.25,212.99999999999653,573.0000000000013,-274.0000000000009,699.9999999999895,,1211.9999999999864
2017.08.25,249.99999999999466,597.0000000000031,-230.0000000000182,520.9999999999936,,1137.9999999999732
2017.08.25,368.9999999999971,680.9999999999983,-316.0000000000025,479.99999999999153,,1213.9999999999845
2017.08.25,598.999999999994,748.9999999999997,-186.00000000000705,441.0000000000025,,1602.999999999989
2017.08.25,655.9999999999899,785.9999999999978,-210.00000000000796,478.0000000000006,,1709.9999999999804
2017.08.25,791.9999999999927,807.9999999999976,-182.00000000001637,574.9999999999922,,1992.9999999999663
2017.08.25,754.9999999999945,792.9999999999993,-221.00000000000364,595.9999999999966,,1922.9999999999868
2017.08.25,736.0000000000033,814.9999999999991,-243.00000000002342,739.9999999999851,,2047.999999999964
2017.08.25,746.0000000000023,822.9999999999959,-196.00000000002638,719.9999999999873,,2092.999999999959
2017.08.25,729.9999999999862,829.0000000000019,-168.00000000000637,702.9999999999869,,2093.9999999999686
2017.08.25,740.9999999999917,814.9999999999991,-185.00000000000227,651.9999999999859,,2022.9999999999745
2017.08.25,760.9999999999894,761.0000000000006,-280.00000000000114,644.0000000000001,,1885.999999999989
2017.08.25,859.9999999999941,1038.0000000000057,-273.00000000002456,659.999999999994,,2284.999999999969
2017.08.25,906.0000000000068,1195.0000000000016,-196.00000000002638,766.9999999999843,,2671.9999999999663
2017.08.25,815.9999999999945,1107.999999999998,-329.00000000000773,659.999999999994,,2254.9999999999786
