date,GBPCHF,EURCHF,EURJPY,EURCAD,AUDCAD,NZDCAD,empty,sum
2018.10.18,-892.9999999999883,73.99999999999629,-197.00000000000273,425.0000000000087,-37.99999999999359,-730.9999999999927,,-1359.9999999999725
2018.10.18,-886.9999999999934,90.99999999999665,-237.0000000000232,381.0000000000091,-63.99999999999739,-678.9999999999962,,-1395.0000000000045
2018.10.18,-916.0000000000057,116.99999999998934,-189.99999999999773,365.0000000000153,-43.999999999999595,-622.0000000000003,,-1289.9999999999986
2018.10.18,-887.9999999999999,68.00000000000139,-174.0000000000066,409.0000000000149,-32.999999999994145,-602.999999999998,,-1220.9999999999823
2018.10.18,-880.9999999999984,83.9999999999952,-173.00000000000182,411.0000000000058,-49.99999999999449,-646.9999999999976,,-1255.9999999999914
2018.10.18,-844.9999999999847,85.00000000000173,-149.0000000000009,391.000000000008,-100.99999999999554,-678.9999999999962,,-1297.9999999999677
2018.10.18,-814.0000000000036,63.99999999999739,-222.0000000000084,341.00000000001353,-292.00000000000335,-697.9999999999986,,-1621.0000000000032
2018.10.18,-790.0000000000018,73.99999999999629,-217.00000000001296,306.00000000000625,-285.00000000000193,-670.9999999999993,,-1583.0000000000136
2018.10.18,-792.9999999999993,60.99999999999994,-183.9999999999975,252.0000000000078,-298.9999999999937,-730.9999999999927,,-1693.9999999999754
2018.10.18,-787.0000000000043,68.00000000000139,-70.0000000000216,239.99999999999577,-363.99999999999767,-755.99999999999,,-1669.0000000000164
2018.10.18,-784.9999999999912,63.99999999999739,-52.99999999999727,239.99999999999577,-476.9999999999941,-861.0000000000007,,-1871.99999999999
2018.10.18,-785.9999999999978,65.00000000000395,-69.00000000001683,239.99999999999577,-468.9999999999972,-837.9999999999943,,-1857.0000000000064
2018.10.18,-797.0000000000033,65.00000000000395,-22.999999999996135,255.00000000000523,-451.9999999999969,-844.0000000000003,,-1795.9999999999873
2018.10.18,-802.9999999999982,65.00000000000395,-18.000000000000682,280.0000000000136,-470.9999999999992,-864.9999999999935,,-1811.999999999974
2018.10.18,-817.9999999999854,65.00000000000395,-10.99999999999568,243.00000000001543,-449.9999999999948,-866.0000000000001,,-1836.9999999999568
2018.10.18,-792.9999999999993,62.000000000006494,2.999999999985903,248.00000000000378,-434.9999999999965,-861.0000000000007,,-1776.0000000000005
2018.10.18,-777.9999999999898,45.99999999999049,49.99999999998295,265.0000000000041,-397.99999999999835,-893.9999999999948,,-1709.0000000000055
2018.10.18,-757.999999999992,-4.000000000004,102.00000000000387,286.00000000000847,-383.99999999999545,-883.9999999999959,,-1641.999999999975
2018.10.18,-763.9999999999869,-7.0000000000014495,128.99999999999068,239.99999999999577,-387.000000000004,-939.9999999999964,,-1729.0000000000023
2018.10.18,-780.000000000003,21.00000000000435,-92.00000000001296,178.99999999999582,-368.00000000000165,-941.9999999999984,,-1982.000000000016
2018.10.18,-853.9999999999992,7.0000000000014495,-296.0000000000207,126.0000000000039,-375.9999999999986,-935.9999999999924,,-2329.0000000000055
2018.10.18,-815.9999999999945,-41.000000000002146,-292.0000000000016,90.99999999999665,-387.000000000004,-959.9999999999942,,-2404.9999999999995
2018.10.18,-821.000000000005,53.999999999998494,-323.0000000000075,67.00000000001705,-488.999999999995,-991.9999999999928,,-2503.999999999985
2018.10.18,-809.9999999999997,117.99999999999588,-338.0000000000223,19.00000000001345,-556.9999999999964,-1040.999999999992,,-2609.000000000001
2018.10.18,-818.9999999999919,79.00000000000685,-320.99999999999795,-52.99999999999194,-595.0000000000011,-1074.9999999999927,,-2783.999999999969
2018.10.18,-846.9999999999977,25.999999999992696,-323.0000000000075,-38.99999999998904,-592.0000000000036,-1093.999999999995,,-2869.0
2018.10.18,-773.9999999999858,-46.0000000000127,-260.9999999999957,-1.999999999990898,-641.0000000000027,-1132.9999999999952,,-2856.9999999999827
2018.10.18,-773.0000000000015,-39.00000000001125,-219.99999999999886,62.000000000006494,-603.9999999999934,-1095.999999999997,,-2669.9999999999955
2018.10.18,-764.9999999999934,9.999999999998899,-192.00000000000728,-19.999999999997797,-639.0000000000007,-1154.999999999995,,-2760.9999999999955
2018.10.18,-916.0000000000057,106.99999999999044,-126.00000000000477,-24.000000000001798,-637.9999999999941,-1154.999999999995,,-2752.000000000011
2018.10.18,-1082.0000000000052,222.99999999999542,-88.99999999999864,36.0000000000138,-622.0000000000003,-1150.999999999991,,-2684.999999999986
2018.10.18,-1136.999999999988,201.00000000000674,-54.000000000002046,175.00000000001404,-510.99999999999477,-1044.999999999996,,-2370.99999999996
2018.10.18,-1034.999999999986,59.99999999999339,-74.00000000001228,209.9999999999991,-442.9999999999934,-1018.9999999999922,,-2300.9999999999914
2018.10.18,-856.9999999999967,22.999999999995246,44.999999999987494,293.0000000000099,-409.99999999999926,-961.0000000000008,,-1867.000000000004
2018.10.18,-852.9999999999926,55.000000000005045,-9.000000000014552,354.0000000000099,-395.0000000000009,-953.9999999999993,,-1801.9999999999925
2018.10.18,-682.9999999999892,-19.00000000001345,94.99999999999886,265.0000000000041,-378.00000000000057,-939.9999999999964,,-1659.9999999999966
2018.10.18,-602.999999999998,-58.000000000002494,251.99999999998113,111.00000000001664,-429.99999999999704,-1044.0000000000005,,-1772.0000000000002
2018.10.18,-438.00000000000506,-222.99999999999542,483.0000000000041,90.00000000001229,-422.9999999999956,-1040.999999999992,,-1551.9999999999718
2018.10.18,-421.0000000000047,-327.99999999999494,608.9999999999804,341.00000000001353,-364.9999999999931,-973.999999999997,,-1137.999999999996
2018.10.18,-259.9999999999936,-317.9999999999961,698.9999999999839,302.0000000000023,-375.0000000000031,-977.99999999999,,-929.9999999999966
2018.10.18,-188.9999999999947,-312.00000000000114,858.0000000000041,242.00000000000887,-365.99999999999966,-1041.9999999999984,,-808.999999999981
2018.10.18,-234.99999999998522,-251.00000000000122,841.9999999999845,299.00000000000483,-364.9999999999931,-1037.9999999999945,,-747.9999999999848
2018.10.18,-258.0000000000027,-205.00000000001074,703.000000000003,185.00000000001293,-441.99999999999795,-1074.9999999999927,,-1091.9999999999882
2018.10.18,-217.0000000000005,-249.99999999999466,743.9999999999998,253.99999999999866,-385.99999999999744,-1044.0000000000005,,-898.9999999999945
2018.10.18,-184.99999999999073,-280.9999999999979,786.9999999999777,317.0000000000117,-363.0000000000022,-1031.9999999999995,,-757.0000000000009
2018.10.18,-153.00000000000313,-263.99999999999756,768.0000000000007,395.99999999999636,-309.0000000000037,-998.9999999999943,,-561.0000000000016
2018.10.18,-104.99999999999955,-307.99999999999716,879.9999999999955,333.0000000000055,-346.0000000000019,-1016.9999999999901,,-562.9999999999877
2018.10.19,-150.00000000000568,-385.99999999999744,876.0000000000048,351.0000000000124,-319.99999999999807,-996.9999999999924,,-625.9999999999765
2018.10.19,-112.000000000001,-317.0000000000117,848.9999999999895,351.0000000000124,-312.00000000000114,-998.9999999999943,,-540.0000000000063
2018.10.19,-136.00000000000279,-303.9999999999932,847.9999999999848,331.0000000000146,-297.9999999999983,-939.0000000000009,,-497.9999999999958
2018.10.19,-143.00000000000423,-280.0000000000136,852.0000000000039,339.0000000000004,-292.00000000000335,-879.9999999999919,,-404.0000000000089
2018.10.19,-154.99999999999403,-256.99999999999613,841.9999999999845,341.00000000001353,-287.0000000000039,-933.9999999999905,,-449.9999999999864
