date,EURUSD,USDCAD,AUDCHF,EURJPY,EURAUD,empty,sum
2019.11.14,-229.99999999999687,-361.9999999999957,-1080.0000000000032,-842.9999999999893,-1173.0000000000018,,-3687.999999999987
2019.11.14,-245.0000000000063,-345.99999999997965,-1085.0000000000027,-860.99999999999,-1180.9999999999877,,-3717.9999999999663
2019.11.14,-239.99999999999577,-374.999999999992,-1186.9999999999936,-869.9999999999903,-1346.0000000000027,,-4017.9999999999745
2019.11.14,-168.99999999999693,-342.9999999999822,-1151.9999999999975,-787.9999999999967,-1296.9999999999925,,-3748.9999999999654
2019.11.14,-93.99999999999409,-349.99999999998363,-1244.0000000000007,-719.9999999999989,-1410.0000000000002,,-3817.9999999999773
2019.11.14,-112.000000000001,-394.9999999999898,-1254.999999999995,-777.000000000001,-1408.0000000000093,,-3946.9999999999964
2019.11.14,-192.99999999999872,-415.99999999999415,-1298.9999999999945,-897.9999999999961,-1422.9999999999966,,-4228.99999999998
2019.11.14,-209.9999999999991,-403.99999999998215,-1275.0000000000039,-947.9999999999933,-1313.999999999993,,-4150.999999999971
2019.11.14,-191.99999999999218,-400.9999999999847,-1288.0000000000002,-915.9999999999968,-1387.000000000005,,-4183.999999999979
2019.11.14,-224.000000000002,-403.99999999998215,-1227.0000000000002,-908.0000000000013,-1360.0000000000057,,-4122.999999999991
2019.11.14,-273.9999999999965,-430.9999999999814,-1310.0,-1018.9999999999912,-1522.0000000000011,,-4555.99999999997
2019.11.14,-295.0000000000008,-419.9999999999982,-1288.9999999999957,-1015.0000000000006,-1459.9999999999945,,-4478.999999999989
2019.11.14,-287.9999999999994,-383.99999999998437,-1285.9999999999982,-1001.9999999999953,-1410.0000000000002,,-4369.999999999977
2019.11.14,-258.0000000000027,-414.9999999999876,-1281.9999999999943,-998.9999999999952,-1452.0000000000089,,-4405.999999999989
2019.11.14,-235.00000000000742,-455.99999999998977,-1393.9999999999952,-941.9999999999931,-1646.9999999999984,,-4673.999999999984
2019.11.14,-249.99999999999466,-452.99999999999227,-1390.0000000000023,-990.9999999999997,-1695.000000000002,,-4778.999999999991
2019.11.14,-204.99999999998852,-406.9999999999796,-1395.9999999999973,-929.9999999999926,-1794.0000000000066,,-4731.9999999999645
2019.11.14,-190.00000000000128,-406.9999999999796,-1366.999999999996,-890.9999999999911,-1778.9999999999973,,-4633.999999999965
