timeframe,profit,0,timeframe1,drawup,1,timeframe2,drawdown
2021.10.27 08:30,-143.00000000001546,,2021.10.25 03:30,562.9999999999976,,2021.10.27 21:00,670.0000000000454
2021.10.27 08:00,208.00000000001808,,2021.10.28 02:00,562.0000000000425,,2021.10.29 21:00,677.0000000000185
2021.10.27 07:30,522.0000000000326,,2021.10.27 23:00,559.0000000000506,,2021.10.25 08:00,683.0000000000033
2021.10.27 07:00,267.0000000000183,,2021.10.25 01:30,558.0000000000155,,2021.10.25 06:30,702.0000000000556
2021.10.27 06:30,54.00000000003354,,2021.10.25 01:00,548.0000000000001,,2021.10.29 19:00,716.0000000000126
2021.10.27 06:00,-63.99999999996635,,2021.10.27 19:00,533.0000000000327,,2021.10.25 20:00,735.0000000000339
2021.10.27 05:30,-224.9999999999194,,2021.10.26 14:30,523.0000000000296,,2021.10.25 19:00,742.9999999999895
2021.10.27 05:00,-375.99999999997857,,2021.10.27 07:30,522.0000000000326,,2021.10.25 11:00,744.0000000000173
2021.10.27 04:30,-148.9999999999602,,2021.10.26 00:30,502.0000000000498,,2021.10.27 22:00,744.9999999999986
2021.10.27 04:00,203.00000000005252,,2021.10.27 13:00,498.0000000000249,,2021.10.25 09:00,747.0000000000052
2021.10.27 03:30,-239.99999999996578,,2021.10.29 18:00,491.00000000001353,,2021.10.27 21:30,751.000000000027
2021.10.27 03:00,262.0000000000315,,2021.10.28 02:30,468.99999999997505,,2021.10.25 07:30,754.0000000000042
2021.10.27 02:30,262.0000000000043,,2021.10.25 18:00,444.0000000000182,,2021.10.25 22:00,754.9999999999974
2021.10.27 02:00,-68.99999999994293,,2021.10.25 23:30,439.00000000003774,,2021.10.27 20:00,765.9999999999934
2021.10.27 01:30,-99.99999999997175,,2021.10.27 19:30,431.00000000003365,,2021.10.26 09:00,767.000000000028
2021.10.27 01:00,-201.99999999999062,,2021.10.27 23:30,429.00000000005696,,2021.10.28 12:30,788.0000000000083
2021.10.27 00:30,46.00000000000932,,2021.10.26 14:00,400.00000000001575,,2021.10.28 12:00,827.0000000000296
2021.10.27 00:00,-286.99999999996834,,2021.10.25 06:00,389.0000000000083,,2021.10.27 22:30,853.999999999997
2021.10.26 23:30,-130.99999999995669,,2021.10.27 11:30,385.9999999999983,,2021.10.25 22:30,859.0000000000045
2021.10.26 23:00,-215.99999999994134,,2021.10.25 17:00,382.00000000004053,,2021.10.27 10:00,867.0000000000425
2021.10.26 22:30,-82.9999999999651,,2021.10.25 02:00,378.0000000000167,,2021.10.27 13:30,886.0000000000354
2021.10.26 22:00,-255.00000000000597,,2021.10.25 00:30,371.00000000003064,,2021.10.29 19:30,903.0000000000462
2021.10.26 21:30,-364.99999999998226,,2021.10.25 09:30,364.00000000001364,,2021.10.25 08:30,924.0000000000202
2021.10.26 21:00,-514.9999999999461,,2021.10.26 03:30,348.00000000002626,,2021.10.25 21:30,930.000000000026
2021.10.26 20:30,-412.99999999998494,,2021.10.26 06:30,338.0000000000088,,2021.10.27 12:00,937.0000000000165
2021.10.26 20:00,-980.9999999999629,,2021.10.26 02:30,326.0000000000373,,2021.10.25 23:00,946.0000000000098
2021.10.26 19:30,-860.9999999999613,,2021.10.26 02:00,317.0000000000257,,2021.10.25 10:30,997.0000000000318
2021.10.26 19:00,-768.9999999999859,,2021.10.25 10:00,307.99999999997453,,2021.10.27 09:30,1011.0000000000016
2021.10.26 18:30,-1223.9999999999118,,2021.10.26 00:00,303.999999999991,,2021.10.27 11:00,1028.0000000000005
2021.10.26 18:00,-983.9999999999995,,2021.10.25 04:00,298.0000000000578,,2021.10.28 15:00,1062.0000000000327
2021.10.26 17:30,-967.9999999999634,,2021.10.29 16:30,297.0000000000548,,2021.10.28 14:30,1078.9999999999984
2021.10.26 17:00,-1361.99999999992,,2021.10.26 01:00,276.9999999999977,,2021.10.28 13:00,1080.0000000000366
2021.10.26 16:30,-662.0000000000034,,2021.10.27 07:00,267.0000000000183,,2021.10.28 11:30,1111.0000000000055
2021.10.26 16:00,-174.00000000001228,,2021.10.27 03:00,262.0000000000315,,2021.10.29 15:30,1113.00000000001
2021.10.26 15:30,71.00000000003843,,2021.10.27 02:30,262.0000000000043,,2021.10.29 14:00,1117.0000000000346
2021.10.26 15:00,159.00000000003342,,2021.10.25 00:00,252.00000000003797,,2021.10.25 21:00,1127.0000000000343
2021.10.26 14:30,523.0000000000296,,2021.10.25 18:30,250.00000000001154,,2021.10.29 16:00,1175.000000000009
2021.10.26 14:00,400.00000000001575,,2021.10.28 01:30,248.0000000000117,,2021.10.29 18:30,1175.0000000000182
2021.10.26 13:30,-321.9999999999547,,2021.10.26 08:30,229.00000000001938,,2021.10.27 10:30,1211.0000000000523
2021.10.26 13:00,-745.9999999999746,,2021.10.27 08:00,208.00000000001808,,2021.10.29 14:30,1214.000000000015
2021.10.26 12:30,-515.9999999999955,,2021.10.27 04:00,203.00000000005252,,2021.10.28 14:00,1232.0000000000055
2021.10.26 12:00,-662.9999999999994,,2021.10.28 03:00,173.00000000006025,,2021.10.28 06:00,1298.000000000022
2021.10.26 11:30,-666.9999999999688,,2021.10.26 06:00,167.00000000000773,,2021.10.28 13:30,1338.0000000000095
2021.10.26 11:00,-676.9999999999886,,2021.10.26 15:00,159.00000000003342,,2021.10.28 11:00,1433.000000000041
2021.10.26 10:30,-1184.9999999999736,,2021.10.25 16:30,143.0000000000228,,2021.10.29 15:00,1439.0000000000002
2021.10.26 10:00,-744.9999999999925,,2021.10.26 08:00,131.00000000001592,,2021.10.28 05:00,1445.0000000000043
